Метод,x,y,Погрешность
Runge-Kutta 4-го порядка,3.03125,9.95085652669268,0.0
Runge-Kutta 4-го порядка,3.0390625,10.022826671600313,0.0
Runge-Kutta 4-го порядка,3.046875,10.095167795817028,0.0
Runge-Kutta 4-го порядка,3.0546875,10.167880853017142,0.0
Runge-Kutta 4-го порядка,3.0625,10.24096679687497,0.0
Runge-Kutta 4-го порядка,3.0703125,10.31442658106483,0.0
Runge-Kutta 4-го порядка,3.078125,10.388261159261036,0.0
Runge-Kutta 4-го порядка,3.0859375,10.462471485137907,0.0
Runge-Kutta 4-го порядка,3.09375,10.537058512369759,0.0
Runge-Kutta 4-го порядка,3.1015625,10.612023194630908,0.0
Runge-Kutta 4-го порядка,3.109375,10.68736648559567,0.0
Runge-Kutta 4-го порядка,3.1171875,10.76308933893836,0.0
Runge-Kutta 4-го порядка,3.125,10.839192708333298,0.0
Runge-Kutta 4-го порядка,3.1328125,10.915677547454798,0.0
Runge-Kutta 4-го порядка,3.140625,10.992544809977177,0.0
Runge-Kutta 4-го порядка,3.1484375,11.069795449574752,0.0
Runge-Kutta 4-го порядка,3.15625,11.147430419921838,0.0
Runge-Kutta 4-го порядка,3.1640625,11.225450674692752,0.0
Runge-Kutta 4-го порядка,3.171875,11.30385716756181,0.0
Runge-Kutta 4-го порядка,3.1796875,11.38265085220333,0.0
Runge-Kutta 4-го порядка,3.1875,11.461832682291627,0.0
Runge-Kutta 4-го порядка,3.1953125,11.541403611501018,0.0
Runge-Kutta 4-го порядка,3.203125,11.621364593505819,0.0
Runge-Kutta 4-го порядка,3.2109375,11.701716581980346,0.0
Runge-Kutta 4-го порядка,3.21875,11.782460530598916,0.0
Runge-Kutta 4-го порядка,3.2265625,11.863597393035846,0.0
Runge-Kutta 4-го порядка,3.234375,11.945128122965452,0.0
Runge-Kutta 4-го порядка,3.2421875,12.02705367406205,0.0
Runge-Kutta 4-го порядка,3.25,12.109374999999956,0.0
Runge-Kutta 4-го порядка,3.2578125,12.192093054453487,0.0
Runge-Kutta 4-го порядка,3.265625,12.27520879109696,0.0
Runge-Kutta 4-го порядка,3.2734375,12.35872316360469,0.0
Runge-Kutta 4-го порядка,3.28125,12.442637125650995,0.0
Runge-Kutta 4-го порядка,3.2890625,12.52695163091019,0.0
Runge-Kutta 4-го порядка,3.296875,12.611667633056593,0.0
Runge-Kutta 4-го порядка,3.3046875,12.696786085764519,0.0
Runge-Kutta 4-го порядка,3.3125,12.782307942708284,0.0
Runge-Kutta 4-го порядка,3.3203125,12.868234157562206,0.0
Runge-Kutta 4-го порядка,3.328125,12.9545656840006,0.0
Runge-Kutta 4-го порядка,3.3359375,13.041303475697784,0.0
Runge-Kutta 4-го порядка,3.34375,13.128448486328073,0.0
Runge-Kutta 4-го порядка,3.3515625,13.216001669565784,0.0
Runge-Kutta 4-го порядка,3.359375,13.303963979085234,0.0
Runge-Kutta 4-го порядка,3.3671875,13.392336368560738,0.0
Runge-Kutta 4-го порядка,3.375,13.481119791666613,0.0
Runge-Kutta 4-го порядка,3.3828125,13.570315202077175,0.0
Runge-Kutta 4-го порядка,3.390625,13.659923553466742,0.0
Runge-Kutta 4-го порядка,3.3984375,13.749945799509629,0.0
Runge-Kutta 4-го порядка,3.40625,13.840382893880152,0.0
Runge-Kutta 4-го порядка,3.4140625,13.931235790252629,0.0
Runge-Kutta 4-го порядка,3.421875,14.022505442301375,0.0
Runge-Kutta 4-го порядка,3.4296875,14.114192803700707,0.0
Runge-Kutta 4-го порядка,3.4375,14.206298828124941,0.0
Runge-Kutta 4-го порядка,3.4453125,14.298824469248395,0.0
Runge-Kutta 4-го порядка,3.453125,14.391770680745383,0.0
Runge-Kutta 4-го порядка,3.4609375,14.485138416290223,0.0
Runge-Kutta 4-го порядка,3.46875,14.57892862955723,0.0
Runge-Kutta 4-го порядка,3.4765625,14.673142274220723,0.0
Runge-Kutta 4-го порядка,3.484375,14.767780303955016,0.0
Runge-Kutta 4-го порядка,3.4921875,14.862843672434426,0.0
Runge-Kutta 4-го порядка,3.5,14.95833333333327,0.0
Runge-Kutta 4-го порядка,3.5078125,15.054250240325864,0.0
Runge-Kutta 4-го порядка,3.515625,15.150595347086524,0.0
Runge-Kutta 4-го порядка,3.5234375,15.247369607289567,0.0
Runge-Kutta 4-го порядка,3.53125,15.34457397460931,0.0
Runge-Kutta 4-го порядка,3.5390625,15.442209402720067,0.0
Runge-Kutta 4-го порядка,3.546875,15.540276845296157,0.0
Runge-Kutta 4-го порядка,3.5546875,15.638777256011895,0.0
Runge-Kutta 4-го порядка,3.5625,15.737711588541599,0.0
Runge-Kutta 4-го порядка,3.5703125,15.837080796559583,0.0
Runge-Kutta 4-го порядка,3.578125,15.936885833740165,0.0
Runge-Kutta 4-го порядка,3.5859375,16.03712765375766,0.0
Runge-Kutta 4-го порядка,3.59375,16.13780721028639,0.0
Runge-Kutta 4-го порядка,3.6015625,16.238925457000665,0.0
Runge-Kutta 4-го порядка,3.609375,16.340483347574803,0.0
Runge-Kutta 4-го порядка,3.6171875,16.44248183568312,0.0
Runge-Kutta 4-го порядка,3.625,16.544921874999936,0.0
Runge-Kutta 4-го порядка,3.6328125,16.647804419199563,0.0
Runge-Kutta 4-го порядка,3.640625,16.75113042195632,0.0
Runge-Kutta 4-го порядка,3.6484375,16.85490083694452,0.0
Runge-Kutta 4-го порядка,3.65625,16.959116617838482,0.0
Runge-Kutta 4-го порядка,3.6640625,17.063778718312523,0.0
Runge-Kutta 4-го порядка,3.671875,17.16888809204096,0.0
Runge-Kutta 4-го порядка,3.6796875,17.274445692698105,0.0
Runge-Kutta 4-го порядка,3.6875,17.38045247395828,0.0
Runge-Kutta 4-го порядка,3.6953125,17.486909389495796,0.0
Runge-Kutta 4-го порядка,3.703125,17.593817392984974,0.0
Runge-Kutta 4-го порядка,3.7109375,17.701177438100128,0.0
Runge-Kutta 4-го порядка,3.71875,17.808990478515575,0.0
Runge-Kutta 4-го порядка,3.7265625,17.917257467905632,0.0
